,Year,Car,PTS,Champion,Average_points_Scored,No_of_times_secured_front_grid,Total_no_of_fastest_Laps,Win_percentage
117,1963,Scirocco BRM,0.0,4,0.0,0.0,0.0,0.0
118,1963,Stebro Ford,0.0,4,0.0,0.0,0.0,0.0
119,1964,BRM,68.0,1,2.121212121212121,1.0,1.0,0.2
120,1964,BRP BRM,5.0,4,0.38461538461538464,0.0,0.0,0.0
121,1964,Brabham BRM,7.0,4,0.4375,0.0,0.0,0.0
122,1964,Brabham Climax,38.0,4,1.125,2.0,0.0,0.2
123,1964,Cooper Climax,14.0,4,0.7619047619047619,0.0,0.0,0.0
124,1964,Ferrari,64.0,2,2.909090909090909,2.0,2.0,0.3
125,1964,Lotus BRM,3.0,4,0.13636363636363635,0.0,0.0,0.0
126,1964,Lotus Climax,49.0,3,2.130434782608696,5.0,4.0,0.3
127,1965,BRM,73.0,1,3.0,4.0,3.0,0.3
128,1965,Brabham BRM,5.0,4,0.2777777777777778,0.0,0.0,0.0
129,1965,Brabham Climax,39.0,3,1.054054054054054,0.0,1.0,0.0
130,1965,Cooper Climax,14.0,4,0.6666666666666666,0.0,0.0,0.0
131,1965,Ferrari,32.0,4,1.4545454545454546,0.0,0.0,0.0
132,1965,Honda,13.0,4,0.9285714285714286,0.0,0.0,0.1
133,1965,Lotus BRM,2.0,4,0.10526315789473684,0.0,0.0,0.0
134,1965,Lotus Climax,64.0,2,2.6666666666666665,6.0,6.0,0.6
135,1966,BRM,31.0,4,1.4166666666666667,0.0,0.0,0.1111111111111111
136,1966,Brabham BRM,1.0,4,0.2,0.0,0.0,0.0
137,1966,Brabham Climax,1.0,4,0.07692307692307693,0.0,2.0,0.0
138,1966,Brabham Repco,60.0,1,3.7058823529411766,3.0,0.0,0.4444444444444444
139,1966,Cooper Maserati,54.0,2,1.2564102564102564,1.0,2.0,0.1111111111111111
140,1966,Eagle Climax,4.0,4,0.6666666666666666,0.0,0.0,0.0
141,1966,Eagle Weslake,3.0,4,0.0,0.0,0.0,0.0
142,1966,Ferrari,33.0,3,2.625,3.0,4.0,0.2222222222222222
143,1966,Honda,5.0,4,0.6,0.0,1.0,0.0
144,1966,Lotus BRM,21.0,4,0.6842105263157895,0.0,0.0,0.1111111111111111
145,1966,McLaren Ford,3.0,4,0.6666666666666666,0.0,0.0,0.0
146,1967,BRM,21.0,4,0.6363636363636364,0.0,0.0,0.0
147,1967,Brabham Climax,2.0,4,0.2857142857142857,0.0,0.0,0.0
148,1967,Brabham Repco,98.0,1,3.6666666666666665,2.0,2.0,0.36363636363636365
149,1967,Cooper Climax,6.0,4,6.0,0.0,0.0,0.0
150,1967,Cooper Maserati,31.0,3,0.6904761904761905,0.0,0.0,0.09090909090909091
151,1967,Eagle Climax,13.0,4,0.0,0.0,2.0,0.0
152,1967,Eagle Weslake,1.0,4,1.0,0.0,0.0,0.09090909090909091
153,1967,Ferrari,22.0,4,1.4375,0.0,0.0,0.0
154,1967,Honda,20.0,4,2.2222222222222223,0.0,0.0,0.09090909090909091
155,1967,Lotus Ford,56.0,2,2.272727272727273,8.0,0.0,0.36363636363636365
156,1967,McLaren BRM,3.0,4,0.5,0.0,0.0,0.0
157,1968,BRM,28.0,4,0.9032258064516129,0.0,2.0,0.0
158,1968,Brabham Repco,12.0,4,0.41379310344827586,0.0,0.0,0.0
159,1968,Cooper BRM,20.0,4,1.0,0.0,0.0,0.0
160,1968,Ferrari,37.0,4,1.608695652173913,4.0,0.0,0.08333333333333333
161,1968,Honda,15.0,4,0.9333333333333333,1.0,1.0,0.0
162,1968,Lotus Ford,75.0,1,2.142857142857143,5.0,5.0,0.4166666666666667
163,1968,Matra,11.0,4,0.6666666666666666,0.0,0.0,0.0
164,1968,Matra Ford,42.0,3,2.8125,0.0,4.0,0.25
165,1968,McLaren Ford,58.0,2,2.24,0.0,0.0,0.25
166,1969,BRM,7.0,4,0.28,0.0,0.0,0.0
167,1969,Brabham Ford,68.0,2,1.8888888888888888,0.0,0.0,0.18181818181818182
168,1969,Ferrari,7.0,4,0.6363636363636364,0.0,0.0,0.0
169,1969,Lotus Ford,56.0,3,1.2391304347826086,5.0,2.0,0.18181818181818182
170,1969,Matra Ford,85.0,1,3.36,2.0,6.0,0.5454545454545454
171,1969,McLaren Ford,49.0,4,1.8846153846153846,0.0,0.0,0.09090909090909091
172,1970,BRM,25.0,4,0.7352941176470589,0.0,0.0,0.07692307692307693
173,1970,Brabham Ford,35.0,3,1.3461538461538463,1.0,3.0,0.07692307692307693
174,1970,Ferrari,76.0,1,3.04,5.0,7.0,0.3076923076923077
175,1970,Lotus Ford,70.0,2,1.8918918918918919,3.0,1.0,0.46153846153846156
176,1970,March Ford,30.0,4,0.9166666666666666,4.0,1.0,0.07692307692307693
177,1970,Matra,24.0,4,0.9230769230769231,0.0,0.0,0.0
178,1970,McLaren Ford,35.0,3,1.2857142857142858,0.0,1.0,0.0
179,1970,Surtees Ford,4.0,4,0.375,0.0,0.0,0.0
180,1970,Tyrrell Ford,25.0,4,0.0,0.0,0.0,0.0
181,1971,BRM,42.0,3,1.1666666666666667,1.0,1.0,0.18181818181818182
182,1971,Brabham Ford,7.0,4,0.2916666666666667,0.0,0.0,0.0
183,1971,Ferrari,44.0,2,1.6296296296296295,3.0,4.0,0.18181818181818182
184,1971,Lotus Ford,25.0,4,1.0869565217391304,0.0,0.0,0.0
185,1971,Matra,10.0,4,0.5882352941176471,1.0,0.0,0.0
186,1971,McLaren Ford,9.0,4,0.52,0.0,1.0,0.0
187,1971,Surtees Ford,9.0,4,0.34615384615384615,0.0,0.0,0.0
188,1971,Tyrrell Ford,88.0,1,3.8260869565217392,6.0,4.0,0.6363636363636364
189,1972,BRM,18.0,4,0.2978723404255319,0.0,1.0,0.08333333333333333
190,1972,Brabham Ford,7.0,4,0.21875,1.0,0.0,0.0
191,1972,Ferrari,47.0,4,1.5666666666666667,4.0,3.0,0.08333333333333333
192,1972,Lotus Ford,61.0,2,2.259259259259259,3.0,0.0,0.4166666666666667
193,1972,March Ford,15.0,4,0.2777777777777778,0.0,0.0,0.0
194,1972,Matra,12.0,4,1.0909090909090908,1.0,2.0,0.0
195,1972,McLaren Ford,62.0,1,2.64,1.0,1.0,0.08333333333333333
196,1972,Surtees Ford,18.0,4,0.4864864864864865,0.0,1.0,0.0
197,1972,Tyrrell Ford,60.0,3,2.4,2.0,4.0,0.3333333333333333
198,1973,BRM,13.0,4,0.29545454545454547,1.0,0.0,0.0
199,1973,Brabham Ford,22.0,4,0.5365853658536586,0.0,0.0,0.0
200,1973,Ferrari,6.0,4,0.7368421052631579,0.0,0.0,0.0
201,1973,Iso Marlboro Ford,14.0,4,0.07142857142857142,0.0,0.0,0.0
202,1973,Lotus Ford,107.0,2,3.4516129032258065,10.0,7.0,0.4666666666666667
203,1973,March Ford,14.0,4,0.358974358974359,0.0,2.0,0.0
204,1973,McLaren Ford,64.0,3,1.9428571428571428,1.0,2.0,0.2
205,1973,Shadow Ford,9.0,4,0.24324324324324326,0.0,0.0,0.0
206,1973,Surtees Ford,7.0,4,0.2,0.0,2.0,0.0
207,1973,Tyrrell Ford,119.0,1,3.933333333333333,3.0,2.0,0.3333333333333333
208,1974,BRM,10.0,4,0.2631578947368421,0.0,0.0,0.0
209,1974,Brabham Ford,49.0,4,1.0,1.0,3.0,0.2
210,1974,Ferrari,90.0,1,3.0,10.0,6.0,0.2
211,1974,Hesketh Ford,15.0,4,1.25,0.0,0.0,0.0
212,1974,Iso Marlboro Ford,4.0,4,0.18181818181818182,0.0,0.0,0.0
213,1974,Lola Ford,1.0,4,0.037037037037037035,0.0,0.0,0.0
214,1974,Lotus Ford,47.0,4,1.4242424242424243,1.0,2.0,0.2
215,1974,March Ford,6.0,4,0.21428571428571427,0.0,0.0,0.0
216,1974,McLaren Ford,87.0,2,1.891304347826087,2.0,1.0,0.26666666666666666
217,1974,Shadow Ford,7.0,4,0.25,0.0,0.0,0.0
218,1974,Tyrrell Ford,59.0,3,1.903225806451613,1.0,3.0,0.13333333333333333
219,1975,Brabham Ford,61.0,3,2.1785714285714284,1.0,1.0,0.14285714285714285
220,1975,Ensign Ford,1.0,4,0.125,0.0,0.0,0.0
221,1975,Ferrari,89.5,1,3.1964285714285716,9.0,6.0,0.42857142857142855
222,1975,Frank Williams Racing Cars/Williams,6.5,4,0.2857142857142857,0.0,0.0,0.0
223,1975,Hesketh Ford,33.0,4,1.32,0.0,1.0,0.07142857142857142
224,1975,Hill Ford,3.0,4,0.15,0.0,0.0,0.0
225,1975,Lotus Ford,9.0,4,0.3,0.0,0.0,0.0
226,1975,March Ford,10.5,4,0.2903225806451613,1.0,1.0,0.07142857142857142
227,1975,McLaren Ford,65.0,2,2.3214285714285716,0.0,2.0,0.21428571428571427
228,1975,Parnelli Ford,5.0,4,0.4166666666666667,0.0,1.0,0.0
229,1975,Shadow Ford,9.5,4,0.38,0.0,0.0,0.0
230,1975,Tyrrell Ford,32.0,4,1.032258064516129,0.0,1.0,0.07142857142857142
231,1976,Brabham Alfa Romeo,8.0,4,0.3235294117647059,0.0,0.0,0.0
232,1976,Ferrari,102.0,1,3.3,4.0,7.0,0.375
233,1976,Fittipaldi Ford,3.0,4,0.1875,0.0,0.0,0.0
234,1976,Ligier Matra,20.0,4,1.25,1.0,1.0,0.0
235,1976,Lotus Ford,33.0,4,1.0666666666666667,1.0,1.0,0.0625
236,1976,March Ford,19.0,4,0.3584905660377358,1.0,1.0,0.0625
237,1976,McLaren Ford,88.0,3,2.75,8.0,3.0,0.375
238,1976,Penske Ford,20.0,4,1.1764705882352942,0.0,0.0,0.0625
239,1976,Shadow Ford,10.0,4,0.3125,0.0,1.0,0.0
240,1976,Surtees Ford,7.0,4,0.21212121212121213,0.0,0.0,0.0
241,1976,Tyrrell Ford,88.0,3,2.3783783783783785,1.0,2.0,0.0625
242,1976,Wolf-Williams,2.0,4,0.0,0.0,0.0,0.0
243,1977,Brabham Alfa Romeo,27.0,4,0.7941176470588235,1.0,2.0,0.0
244,1977,Ensign Ford,10.0,4,0.43478260869565216,0.0,0.0,0.0
245,1977,Ferrari,114.0,1,3.4545454545454546,2.0,3.0,0.23529411764705882
246,1977,Fittipaldi Ford,11.0,4,0.6875,0.0,0.0,0.0
247,1977,Ligier Matra,19.0,4,1.0,0.0,1.0,0.058823529411764705
248,1977,Lotus Ford,67.0,2,2.0303030303030303,7.0,5.0,0.29411764705882354
249,1977,McLaren Ford,65.0,3,1.4130434782608696,6.0,3.0,0.17647058823529413
250,1977,Shadow Ford,24.0,4,0.7058823529411765,0.0,0.0,0.058823529411764705
251,1977,Surtees Ford,6.0,4,0.2,0.0,0.0,0.0
252,1977,Tyrrell Ford,27.0,4,0.7714285714285715,0.0,1.0,0.0
253,1977,Wolf Ford,55.0,4,3.235294117647059,1.0,2.0,0.17647058823529413
254,1978,Arrows Ford,11.0,4,0.4782608695652174,0.0,0.0,0.0
255,1978,Brabham Alfa Romeo,69.0,2,2.090909090909091,2.0,4.0,0.125
256,1978,Ensign Ford,1.0,4,0.05555555555555555,0.0,0.0,0.0
257,1978,Ferrari,65.0,3,2.03125,2.0,3.0,0.3125
258,1978,Fittipaldi Ford,17.0,4,1.0625,0.0,0.0,0.0
259,1978,Ligier Matra,19.0,4,1.1875,0.0,0.0,0.0
260,1978,Lotus Ford,116.0,1,2.8292682926829267,12.0,7.0,0.5
261,1978,McLaren Ford,16.0,4,0.3333333333333333,0.0,0.0,0.0
262,1978,Renault,3.0,4,0.21428571428571427,0.0,0.0,0.0
263,1978,Shadow Ford,6.0,4,0.21428571428571427,0.0,0.0,0.0
264,1978,Surtees Ford,1.0,4,0.045454545454545456,0.0,0.0,0.0
